campaign,topology,total_flow_lpm,inlet_pressure_mpa,defect_count,bead_height_mm,bead_height_std_mm,mc_iterations,fail_rate,fail_rate_CI95_low,fail_rate_CI95_high,mean_terminal_mpa,std_terminal_mpa,P5_terminal_mpa,P50_terminal_mpa,P95_terminal_mpa
C1,uni,2240.0,0.474,4,1.0,0.5,10000,0.0,0.0,0.00038401247776654115,0.10929067900028586,0.001107463355762148,0.10738091317553383,0.10934474751269278,0.11100119285267297
C1,uni,2240.0,0.476,4,1.0,0.5,10000,0.0,0.0,0.00038401247776654115,0.1112906790002859,0.0011074633557621475,0.10938091317553383,0.1113447475126928,0.11300119285267297
C1,uni,2240.0,0.478,4,1.0,0.5,10000,0.0,0.0,0.00038401247776654115,0.1132906790002859,0.0011074633557621443,0.11138091317553385,0.1133447475126928,0.11500119285267298
C1,uni,2240.0,0.48,4,1.0,0.5,10000,0.0,0.0,0.00038401247776654115,0.1152906790002859,0.001107463355762144,0.11338091317553385,0.1153447475126928,0.11700119285267298
C1,uni,2240.0,0.482,4,1.0,0.5,10000,0.0,0.0,0.00038401247776654115,0.1172906790002859,0.001107463355762144,0.11538091317553385,0.1173447475126928,0.11900119285267298
C1,uni,2240.0,0.456,1,1.0,0.75,10000,1.0,0.9996159875222334,0.9999999999999999,0.09428399819932407,0.0006236694710559674,0.09314740888686486,0.09435717665276498,0.09512904212598487
C1,uni,2240.0,0.458,1,1.0,0.75,10000,1.0,0.9996159875222334,0.9999999999999999,0.09628399819932407,0.0006236694710559674,0.09514740888686486,0.09635717665276498,0.09712904212598487
C1,uni,2240.0,0.46,1,1.0,0.75,10000,1.0,0.9996159875222334,0.9999999999999999,0.09828399819932405,0.0006236694710559674,0.09714740888686486,0.09835717665276499,0.09912904212598488
C1,uni,2240.0,0.462,1,1.0,0.75,10000,0.2976,0.2887179363222017,0.306637511928798,0.10028399819932407,0.0006236694710559674,0.09914740888686487,0.10035717665276499,0.10112904212598488
C1,uni,2240.0,0.464,1,1.0,0.75,10000,0.0023,0.0015331432202735716,0.0034491028000952426,0.10228399819932406,0.0006236694710559674,0.10114740888686487,0.10235717665276499,0.10312904212598488
C1,uni,2240.0,0.466,1,1.0,0.75,10000,0.0,0.0,0.00038401247776654115,0.10428399819932406,0.0006236694710559674,0.10314740888686487,0.10435717665276499,0.10512904212598488
C1,uni,2240.0,0.468,1,1.0,0.75,10000,0.0,0.0,0.00038401247776654115,0.10628399819932406,0.0006236694710559674,0.10514740888686487,0.10635717665276499,0.10712904212598488
C1,uni,2240.0,0.47,1,1.0,0.75,10000,0.0,0.0,0.00038401247776654115,0.10828399819932401,0.0006236694710559671,0.10714740888686482,0.10835717665276494,0.10912904212598483
C1,uni,2240.0,0.472,1,1.0,0.75,10000,0.0,0.0,0.00038401247776654115,0.11028399819932404,0.0006236694710559726,0.10914740888686482,0.11035717665276495,0.11112904212598484
C1,uni,2240.0,0.474,1,1.0,0.75,10000,0.0,0.0,0.00038401247776654115,0.11228399819932404,0.0006236694710559674,0.11114740888686483,0.11235717665276496,0.11312904212598485
C1,uni,2240.0,0.476,1,1.0,0.75,10000,0.0,0.0,0.00038401247776654115,0.11428399819932406,0.0006236694710559671,0.11314740888686484,0.11435717665276496,0.11512904212598485
C1,uni,2240.0,0.478,1,1.0,0.75,10000,0.0,0.0,0.00038401247776654115,0.11628399819932406,0.0006236694710559671,0.11514740888686484,0.11635717665276496,0.11712904212598485
C1,uni,2240.0,0.48,1,1.0,0.75,10000,0.0,0.0,0.00038401247776654115,0.11828399819932403,0.0006236694710559671,0.11714740888686484,0.11835717665276496,0.11912904212598485
C1,uni,2240.0,0.482,1,1.0,0.75,10000,0.0,0.0,0.00038401247776654115,0.12028399819932406,0.0006236694710559671,0.11914740888686484,0.12035717665276496,0.12112904212598485
C1,uni,2240.0,0.456,2,1.0,0.75,10000,1.0,0.9996159875222334,0.9999999999999999,0.09364995828694472,0.0007801068963261015,0.09226049454965321,0.09371366914860159,0.09481128499974693
C1,uni,2240.0,0.458,2,1.0,0.75,10000,1.0,0.9996159875222334,0.9999999999999999,0.09564995828694473,0.0007801068963261015,0.09426049454965321,0.09571366914860159,0.09681128499974694
C1,uni,2240.0,0.46,2,1.0,0.75,10000,1.0,0.9996159875222334,0.9999999999999999,0.09764995828694473,0.0007801068963261015,0.09626049454965321,0.09771366914860159,0.09881128499974694
C1,uni,2240.0,0.462,2,1.0,0.75,10000,0.6411,0.6316457801850706,0.6504458514937037,0.09964995828694473,0.0007801068963261015,0.09826049454965322,0.0997136691486016,0.10081128499974694
