case_id,topology,branch_inlet_config,num_branches,heads_per_branch,active_heads,total_flow_lpm,inlet_pressure_mpa,bead_height_mm,bead_height_std_mm,defect_count,p_bead,mc_iterations,terminal_pressure_mpa,pressure_margin_mpa,pass_fail,loss_pipe_mpa,loss_fitting_mpa,loss_bead_mpa,required_extra_inlet_pressure_mpa,worst_branch_index,ranking_or_location_id,mean_terminal_mpa,std_terminal_mpa,P5_terminal_mpa,P50_terminal_mpa,P95_terminal_mpa,fail_rate,fail_rate_CI95_low,fail_rate_CI95_high
P1b,tree,80A-65A,4,8,32,2560.0,0.6,1.0,0.5,,0.1,10000,,,,,,,,,,0.1663387954880103,0.0012188967680500879,0.1638117561196202,0.16675990245009578,0.1672767509544459,0.0,0.0,0.00038401247776654115
P1b,tree,80A-65A,4,8,32,2560.0,0.6,1.5,0.75,,0.1,10000,,,,,,,,,,0.1655497105909886,0.0021561660439233256,0.16118528959429823,0.1662270530514386,0.1672767509544459,0.0,0.0,0.00038401247776654115
P1b,tree,80A-65A,4,8,32,2560.0,0.6,2.0,1.0,,0.1,10000,,,,,,,,,,0.16435848331456615,0.0037309623486927617,0.15732888825695676,0.1655215872730407,0.1672767509544459,0.0,0.0,0.00038401247776654115
P1b,tree,80A-65A,4,8,32,2560.0,0.6,2.5,1.25,,0.1,10000,,,,,,,,,,0.16258650718354017,0.006258560230603254,0.15080670740383936,0.16445490672184646,0.1672767509544459,0.0005,0.0002135852753354596,0.001170043189953315
P1b,tree,80A-65A,4,8,32,2560.0,0.6,3.0,1.5,,0.1,10000,,,,,,,,,,0.1599526672963715,0.010549890459480833,0.14158336318893033,0.163071130656818,0.1672767509544459,0.004,0.0029389972151094013,0.005441943162835007
P1b,tree,80A-65A,4,8,32,2560.0,0.6,1.0,0.5,,0.2,10000,,,,,,,,,,0.1653884231836197,0.0016270840443143055,0.1622870435334996,0.16572108826747367,0.1672767509544459,0.0,0.0,0.00038401247776654115
P1b,tree,80A-65A,4,8,32,2560.0,0.6,1.5,0.75,,0.2,10000,,,,,,,,,,0.16380086276977146,0.00286247263262644,0.158187953267825,0.1643836164288699,0.1672767509544459,0.0,0.0,0.00038401247776654115
P1b,tree,80A-65A,4,8,32,2560.0,0.6,2.0,1.0,,0.2,10000,,,,,,,,,,0.16151933923015996,0.004881134373457758,0.15236680006780923,0.16255349665165889,0.1672767509544459,0.0,0.0,0.00038401247776654115
P1b,tree,80A-65A,4,8,32,2560.0,0.6,2.5,1.25,,0.2,10000,,,,,,,,,,0.1583253327256226,0.008112663909940724,0.14325175382277802,0.16028741208063207,0.1672767509544459,0.0008,0.0004054288421193391,0.0015779692156827755
P1b,tree,80A-65A,4,8,32,2560.0,0.6,3.0,1.5,,0.2,10000,,,,,,,,,,0.15322527184327528,0.014618338292795286,0.12834085200600112,0.15687299584525127,0.16710996157508057,0.0109,0.009044443879129442,0.013131197126621787
P1b,tree,80A-65A,4,8,32,2560.0,0.6,1.0,0.5,,0.3,10000,,,,,,,,,,0.16443644426892462,0.00186720647249563,0.16092825404778285,0.1647128206938669,0.16702352063064194,0.0,0.0,0.00038401247776654115
P1b,tree,80A-65A,4,8,32,2560.0,0.6,1.5,0.75,,0.3,10000,,,,,,,,,,0.16212896665035031,0.003314412195106787,0.15584416475724652,0.1626817986152091,0.16651408674980644,0.0,0.0,0.00038401247776654115
