case_id,topology,branch_inlet_config,num_branches,heads_per_branch,active_heads,total_flow_lpm,inlet_pressure_mpa,bead_height_mm,bead_height_std_mm,defect_count,p_bead,mc_iterations,terminal_pressure_mpa,pressure_margin_mpa,pass_fail,loss_pipe_mpa,loss_fitting_mpa,loss_bead_mpa,required_extra_inlet_pressure_mpa,worst_branch_index,mean_terminal_mpa,std_terminal_mpa,P5_terminal_mpa,P50_terminal_mpa,P95_terminal_mpa,fail_rate,fail_rate_CI95_low,fail_rate_CI95_high
S2b,tree,80A-65A,4,8,32,2560.0,0.58,1.5,0.75,2,,10000,,,,,,,,,0.14618372190658968,0.0017047550045688083,0.14279764774831308,0.14712909739565674,0.14727675095444595,0.0,0.0,0.00038401247776654115
S2b,tree,80A-65A,4,8,32,2560.0,0.58,1.5,0.75,4,,10000,,,,,,,,,0.1450410510368968,0.0023031025825306748,0.14037698857994096,0.14561449528169476,0.14727675095444595,0.0,0.0,0.00038401247776654115
S2b,tree,80A-65A,4,8,32,2560.0,0.58,1.5,0.75,8,,10000,,,,,,,,,0.1429253964938419,0.002901966915474714,0.13750584498090038,0.14343958041730415,0.14672835266011444,0.0,0.0,0.00038401247776654115
S2b,tree,80A-65A,4,8,32,2560.0,0.58,0.0,0.0,0,,0,0.14727675095444595,,,,,,,,0.14727675095444595,0.0,,,,0.0,,
S2b,tree,80A-65A,4,8,32,2560.0,0.58,2.0,1.0,1,,10000,,,,,,,,,0.14638078881671085,0.0020105869679830296,0.14269769458825377,0.14727675095444595,0.14727675095444595,0.0,0.0,0.00038401247776654115
S2b,tree,80A-65A,4,8,32,2560.0,0.58,2.0,1.0,2,,10000,,,,,,,,,0.14543320041274052,0.0028193294575340412,0.14023473107003148,0.14651768477768887,0.14727675095444595,0.0,0.0,0.00038401247776654115
S2b,tree,80A-65A,4,8,32,2560.0,0.58,2.0,1.0,4,,10000,,,,,,,,,0.14364829254368794,0.003762003506041025,0.13657275617598721,0.1446197870835371,0.14727675095444595,0.0,0.0,0.00038401247776654115
S2b,tree,80A-65A,4,8,32,2560.0,0.58,2.0,1.0,8,,10000,,,,,,,,,0.1401041111454826,0.004937551805675746,0.13099485106357495,0.14111290732228116,0.14593772018801662,0.0,0.0,0.00038401247776654115
S2b,tree,80A-65A,4,8,32,2560.0,0.58,0.0,0.0,0,,0,0.14727675095444595,,,,,,,,0.14727675095444595,0.0,,,,0.0,,
S2b,tree,80A-65A,4,8,32,2560.0,0.58,2.5,1.25,1,,10000,,,,,,,,,0.14578161698817,0.0033100431003351676,0.1398886937556985,0.14727675095444595,0.14727675095444595,0.0004,0.00015556032105416015,0.0010281449467301677
